"X","Title","Company","Location","Date","Scrape.Date","Summary","Salary","Url"
"237",236,"(Junior/Senior) Data Scientist / Strategy Analyst","PA Consulting Group","Utrecht","Meer dan 30 dagen geleden","2021-03-05","Data Science – opdrachtgevers inzicht geven op basis van data analyse PA’s Data & Analytics Team helpt haar klanten om waardevolle inzichten te geven op basis…","","https://nl.indeed.com/rc/clk?jk=bb81aaa6219b6ecc&fccid=cf94a2aa6eb7d672&vjs=3"
"238",237,"(Junior) FX Trader/Transactie Analist - Treasury & Trading","PGGM","Zeist","Meer dan 30 dagen geleden","2021-03-05","Geïnteresseerd in ontwikkelingen op het gebied van technologie, data management en financiële markten;
Wil jij bijdragen aan een waardevolle toekomst, alles…","","https://nl.indeed.com/rc/clk?jk=975fd7f48ff3de05&fccid=e9e7518740f271dd&vjs=3"
"239",238,"Data Analist","StarApple","Rosmalen","Meer dan 30 dagen geleden","2021-03-05","Ben jij een ervaren Data analist die graag gegevens, data en informatie verzamelt, ordent en omzet tot bruikbare informatie waarbij je het…","€3.000 - €5.000 per maand","https://nl.indeed.com/rc/clk?jk=a8daa5d973512dd6&fccid=e9f71ecf64b10d24&vjs=3"
"240",239,"Data Engineering Intern","Atradius","Amsterdam","3 dagen geleden","2021-03-05","The team has data analysts, scientists, and engineers working closely together with all our stakeholders.
If you feel excited by the prospect of optimizing and…","","https://nl.indeed.com/rc/clk?jk=409724db6ba5de0d&fccid=c2d9c34af42f5f11&vjs=3"
"241",240,"Working Student / Bijbaan","Picnic","Amsterdam","Meer dan 30 dagen geleden","2021-03-05","Good Excel and data analysis skills.
You will be part of Picnic's fleet team, and work together with analysts, area managers, hub managers, and Runners.","","https://nl.indeed.com/rc/clk?jk=d3973981023f6ddb&fccid=9ca7c1c1cfaa481c&vjs=3"
"242",241,"Data analist | Zwolle","Teleperformance Benelux","Zwolle","13 dagen geleden","2021-03-05","Spotter, opgraver én duider van data-pareltjes.
Omdat je gelooft in de voorspellende kracht van data en dat geloof uitstraalt.
Liefst met een gouden randje.","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnUmFDJx9Oif53EHg4peBlrsbvJFgQ4TDd1rAdS1A9_LKioEsQjmuA348M7TUgEo3ikT7oY_eWjwrLNqLMEoZ0v_GbF4MQTT_F3w00BQ27RlozKR4emVcG4RvjH1bukq3CnAQDDKkP99gN8diCCwh45Z219xwc18c-wYt60jdhbMQx5yzkDYWtsBXInUCvu5H9txYtJZlUNVqIixXQEjiqV9mHdwfvQ-L0XgSQn1a6vsN6mNq11i4XJ3di0Gd02LvVESoxR4HT6J_EfZlq7RdUTxfDrqQHbTO0C9vfDR5MeTaGIZRMy2Rzz8OYzZJuGqt2GduyjpsMwQGBUbiGI4kTOaXD9oqgBti-JsuE-k6E5oq0-CY9qZ-jKD6glQCLSR9QTfszWoH7ozc-V189msQW05iT9tPKpOJHtp6VuYcYmlrm7V0rz3MUmRG9PNMi1kDNNvL0CI4QUYSle8C1CioVxNbACcIRIiegz4K_jeGwVFr4aj7rHNwhcSJxegMuSTwI8bE9edaDExpy4FfY0TMxzvSac_0m1MLCMXZWp1nhjc_qm9STo0c27TUTAzQ5kmH57-2WtMUE0i7EvdaExAU4R5m7zl910M2ptFn_FAOBGxkzQmj2O96nXMOsvHOAMs0xSyXqsAXhVHG6yt1ZXP5Hk_wTBJxoYkT1-_HwftoJUiJ85yJ2lD6fWNIHaaXdS9oGnyiEzpdKQs3EH9SYizHoSDVZFcEWhuwZTRxAjhXYtg==&p=14&fvj=0&vjs=3"
"243",242,"Data Engineer","Samotics B.V.","Leiden","2 dagen geleden","2021-03-05","Support and improve data science pipelines.
You will be monitoring the data flow, databases and other systems related to our data science pipeline, where you…","","https://nl.indeed.com/rc/clk?jk=7b97a66008176252&fccid=b0c1892fe4635dc9&vjs=3"
"244",243,"business analist intelligence","Politie","Apeldoorn","Vandaag","2021-03-05","Hier worden gebruiksvriendelijke userinterfaces ontwikkeld voor het doorzoeken van grote hoeveelheden data.
Kennis en ervaring op het gebied van (big) data en…","€4.134 - €5.885 per maand","https://nl.indeed.com/rc/clk?jk=3eaa3127efcc8191&fccid=91f291af2278c534&vjs=3"
"245",244,"Digital Data Analist","Yacht","Groningen","6 dagen geleden","2021-03-05","Je bent een echte digital data-expert en kent de verschillende methodes die je kunt gebruiken om de meest waardevolle inzichten over onze gebruikers te…","","https://nl.indeed.com/rc/clk?jk=f21025d02e135d42&fccid=3f250a1aeb39a426&vjs=3"
"246",245,"(Junior) FX Trader/Transactie Analist - Treasury & Trading","PGGM","Zeist","Meer dan 30 dagen geleden","2021-03-05","Geïnteresseerd in ontwikkelingen op het gebied van technologie, data management en financiële markten;
Wil jij bijdragen aan een waardevolle toekomst, alles…","","https://nl.indeed.com/rc/clk?jk=975fd7f48ff3de05&fccid=e9e7518740f271dd&vjs=3"
"247",246,"SAP Data Analist","Teqoia","Rotterdam","Meer dan 30 dagen geleden","2021-03-05","Controleren van data op consistentie en compleetheid.
Je gaat je voornamelijk bezig houden met de volgende werkzaamheden;
Wat heeft Teqoia te bieden?","€3.675 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANswqFruRI8O-CrivjVLPi-1r6AIXx8QJJnJ3tdbVG9YTDcFruaglyWpUmBUU6RQsM1Ty6KJaEOYAtwh_NK6wMlMd8u4TYmuVB8hiOL2zzNEFYEZl2J_gLOhMIuqo4M7XzfAsgiEVSt2EYfXyJTCB-WmTQaHtAAyOxOyNNKjAYfpjG7kJS_vyMRPsVACx9e3paX5JwJ2TdK7HU6YvaSRfntgtu0Uo_7bw4CrPW17hynABsu03cN5OUgeMGVwRC1Q-U1lQjePx7oRS-d5OYhm0q1KJ8dDl1jZCFjDey1cEBDjxfoXeh7BIzU1OZVwQVxAmgzr3lvbZEfEjTA2UXZdTz34WKqJmEv_nw-R8ZbI1uiibCg-5L6lSYqJ66UIx85DT7982WaRPk90sC6gzrG_CQ09V1O8L1puJ4nPRtB8xxBak49i7P7eQf&p=4&fvj=1&vjs=3"
"248",247,"Data Analyst","CGI Inc","Arnhem","4 dagen geleden","2021-03-05","Ervaring met data quality processen;
Opstellen van data-gedreven strategieën;
Bedenken van slimme data-gedreven oplossingen die je implementeert bij de klant;","","https://nl.indeed.com/rc/clk?jk=644398ec1f6246c6&fccid=d2841a5c0380b93d&vjs=3"
"249",248,"Junior Data Analyst and Middle Office Support","Algorithmic Trading Group","Amsterdam","Meer dan 30 dagen geleden","2021-03-05","You will work with colleagues on maintenance and reconciliation of trade and instrument data, queries and reports.","","https://nl.indeed.com/rc/clk?jk=ad4b09a9d0f0d925&fccid=5d79d6c05fe1e57d&vjs=3"
"250",249,"Python Data Analyst","memo2","Nederland","Meer dan 30 dagen geleden","2021-03-05","Get freedom to develop and experiment with new ideas to innovate/automate data analysis.
Knowledge of Python libraries for data science and web development …","","https://nl.indeed.com/rc/clk?jk=780afef3e94aafd6&fccid=c8996123c3ba1f78&vjs=3"
"251",250,"Junior Client Relationship Manager (m/f/d)","Groupe Crédit Agricole","Den Bosch","13 dagen geleden","2021-03-05","For further information regarding the regulations being related to the data protection law please refer to our data protection law declaration.","","https://nl.indeed.com/rc/clk?jk=8093089a8224ad99&fccid=7077ed64aecd53a3&vjs=3"
"252",251,"Data Analyst","Lely","Maassluis","Vandaag","2021-03-05","Ervaring met data bewerken (SQL en Python);
Jij helpt veehouders wereldwijd om op basis van data het bedrijf beter aan te sturen.","","https://nl.indeed.com/rc/clk?jk=686588aa1a986f7b&fccid=7d00e507607345f9&vjs=3"
"253",252,"Consultant Data Analytics & Reporting","TriFinance","Utrecht","18 dagen geleden","2021-03-05","Bovendien draag je bij aan verbeterde kwaliteit van data en bedrijfsprocessen.
Om de juiste besluiten te nemen is stuurinformatie ondersteund door data benodigd…","€3.000 - €4.500 per maand","https://nl.indeed.com/company/TriFinance/jobs/Consultant-Data-Analytics-Reporting-6c8da98b4c55365b?fccid=1e147d04043660f9&vjs=3"
"254",253,"Data Analist","Makerstreet","Amsterdam Zuid","Meer dan 30 dagen geleden","2021-03-05","Voor de data analist die wil blijven leren.
Wat je gaat doen als data analist?
Always be learning is de data club binnen MakerStreet die bestaat uit data…","","https://nl.indeed.com/rc/clk?jk=d8c1873130d6844c&fccid=ae9d5808fdc9aaa2&vjs=3"
"255",254,"Data marketeer/ Analist","Plieger","Nederland","Meer dan 30 dagen geleden","2021-03-05","Minimaal 3 jaar ervaring in data driven marketing analyst, data science, data engineer, technical analytics engineer, aan bureau-kant of klant-kant.","","https://nl.indeed.com/rc/clk?jk=4a4169f98023ed15&fccid=4e5f062a0ab5bff4&vjs=3"
"256",255,"Data Modeling Engineer","Werkspot","Amsterdam Centrum","1 dag geleden","2021-03-05","You will work closely with other developers, analysts, product owners and data scientists to build great solutions to help teams have the right insights.","","https://nl.indeed.com/rc/clk?jk=38eecd050f69e8fe&fccid=57e94a353dfb70db&vjs=3"
"257",256,"Data Analyst","USP Marketing Consultancy","Rotterdam","Meer dan 30 dagen geleden","2021-03-05","DATA - RESEARCH ANALYST | Rotterdam | 40 uur per week | €2222 - € 3478.
USP zoekt GEEN schaap met 5 poten!
Wat verwachten we van jou?.","€2.222 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CraaXEUtviYOfTEBZGldda6AP5YAjOpzXzny0t_gVC2_AYC7pOp1UwSjICQtGzsdZDk2mSGThGeHPGAhAGH6rI5V-1mAtFqyrk6pWtIlU2ZYeAGWktAv8hczYtnn3HlMfFH-ccRadjlli9zqCljB0FsiyfrnJdc5fvJXdkXRozuPWe1rhtkY2aA_JLfvtKsqTsX6gRCSaCDipXSeIP5aLK52j9J9AmP0NSmfjWQ5kG0YRkjeieUTyiHc4h_WOKMf7axdItsY7VlLsP4BQJ42KbWCmHqxr-1k-E5GJdfwezKqvRqb6FV9c2QZ-bMmc6s6j7OGm2FQp1wISWBcLiC4DkFc5VcfXgLXTqzuTR6_4L2bDOjJDHlzkn4wgM5mU04q2NsDXLMYBzIb-1JaA-t9OlFfkdfDKwJZbw9HdeLCzkjEIUFd_xaFX5GqKWLLGg6Tj5Fnhzz5rFUw==&p=14&fvj=1&vjs=3"
"258",257,"Data Analyst","TYPE2SOLUTIONS","Ridderkerk","14 dagen geleden","2021-03-05","You contribute to innovative and practical solutions in complex data environments on different projects for our local and international accounts using Type 2…","","https://nl.indeed.com/rc/clk?jk=01186136c409d181&fccid=bc0c5380b39899ce&vjs=3"
"259",258,"Project Analyst","Stolt-Nielsen USA, INC.","Rotterdam","9 dagen geleden","2021-03-05","You have experience working with large data-sets and can distill many observations into a few clear, actionable insights.
You are a natural communicator.","","https://nl.indeed.com/rc/clk?jk=e715d70da77200e9&fccid=ba367b240ef4e865&vjs=3"
"260",259,"Agile informatie analist bij Creates","Caesar Groep","Utrecht","13 dagen geleden","2021-03-05","Organisaties bewegen met customer experience en data.
Dan ben jij de informatie analist die we zoeken!
Minimaal 3 jaar werkervaring als informatie analist of…","€3.400 - €4.300 per maand","https://nl.indeed.com/rc/clk?jk=7f2c0faa6eed7eb8&fccid=e978dd037a6f0bf9&vjs=3"
"261",260,"Data Analyst Engineer","App Annie","Utrecht","Meer dan 30 dagen geleden","2021-03-05","2+ working years experience in data quality or data analysis.
As a Data Analyst, you will be working on data profiling, data quality monitoring, data cleansing…","","https://nl.indeed.com/rc/clk?jk=266aa44cac4553e6&fccid=6a918ba2c69a0390&vjs=3"
"262",261,"Revenue Data Analyst","Bynder","Amsterdam","6 dagen geleden","2021-03-05","Lead or support data analytics/metric improvement initiatives, including data standardization.
Leverage large data sets to understand how data relates to…","","https://nl.indeed.com/rc/clk?jk=a17648c4971bcb46&fccid=3b3c749dfc1c5a2b&vjs=3"
"263",262,"Data analist/architect","National Academic","Dordrecht","Meer dan 30 dagen geleden","2021-03-05","Voor jou als data analist / data architect geldt: hoe meer data hoe beter!
Jouw taken als data analist/architect.
Dan zijn wij op zoek naar jou!","","https://nl.indeed.com/rc/clk?jk=135bda17679111b9&fccid=015e8923ff573d7d&vjs=3"
"264",263,"DOE Information analist / data modeller Lumis","Varrlyn","Amsterdam-Zuidoost","Meer dan 30 dagen geleden","2021-03-05","At least 2 years of experience with business and information analysis and data modelling;
At Varrlyn we believe that if it is possible, it will be done.","","https://nl.indeed.com/rc/clk?jk=0daf8fcae2f931c7&fccid=b4f1a6978b3a715c&vjs=3"
"265",264,"Junior Energy Analyst","Neowatt B.V.","Amsterdam","7 dagen geleden","2021-03-05","Exposure to both Structured and Unstructured (logs, cloud data, SQL, NoSQL) data sources.
We are currently looking for a junior energy analyst with passion for…","","https://nl.indeed.com/company/Neowatt-B.V./jobs/Junior-Energy-Analyst-99f55b6527d9a9e1?fccid=a8f99f919c609df7&vjs=3"
"266",265,"Business Proces Analist","Heuschen & Schrouff Foods Group BV","Landgraaf","3 dagen geleden","2021-03-05","Je hebt ervaring met data-analyse.
Is logistiek helemaal jouw ding?
Ben je op zoek naar een 2e stap in je carrière in een functie waar je veel mag leren,…","","https://nl.indeed.com/rc/clk?jk=1b8ade5d9d4bca39&fccid=a3799f6d14c295d3&vjs=3"
"267",266,"Data Analist","Guidion","Amsterdam","Meer dan 30 dagen geleden","2021-03-05","Je schakelt de data engineer in.
Binnen Guidion is data driven werken erg belangrijk.
Het team bestaat uit jonge data enthousiastelingen, zowel engineers als…","","https://nl.indeed.com/rc/clk?jk=f8ced59bd2577d11&fccid=0f7a8145e3021fc3&vjs=3"
"268",267,"Data Proces Analist","MLC","Leusden","Meer dan 30 dagen geleden","2021-03-05","Minimaal 3 jaar werkervaring met data en proces analyse, bijvoorbeeld als Data Scientist, Data Proces Manager, Data Consultant, Business Analist of een andere…","","https://nl.indeed.com/rc/clk?jk=f0729c265bc3a480&fccid=97b83285b306f12b&vjs=3"
"269",268,"Data Engineer","Docker","Werk van thuis","8 dagen geleden","2021-03-05","Maintain the integrity of data within our data pipeline and warehouse.
Familiarity with data warehousing concepts including data model design and query…","","https://nl.indeed.com/rc/clk?jk=63a94fea02661de2&fccid=1cbe7d59a6dc275d&vjs=3"
"270",269,"Junior Data Analyst | Graduate role","Adams Multilingual Recruitment","Rotterdam","3 dagen geleden","2021-03-05","Solid skills in data administration.
Managing the company’s data for internal and external stakeholders.
You will support the operation department by collecting…","","https://nl.indeed.com/rc/clk?jk=779405568a652a39&fccid=634976d7462d7134&vjs=3"
"271",270,"Informatie analist / Projectleider","iSense ICT Professionals","Eindhoven","17 dagen geleden","2021-03-05","Ook komen er steeds meer cloud oplossingen bij die moeten integreren met het huidige ERP systeem en wil men een nieuwe master data management tool gaan kiezen.","","https://nl.indeed.com/rc/clk?jk=4cea16b9395bee1f&fccid=1b526d4f995493fe&vjs=3"
"272",271,"Data analist","Wolters Kluwer","Alphen aan den Rijn","Meer dan 30 dagen geleden","2021-03-05","Ervaring met het vertalen van data naar toepasbare inzichten.
Kom dan ons Customer Intelligence & Insights team versterken als Data analist!","","https://nl.indeed.com/rc/clk?jk=eb9fd5fa81b7f8f0&fccid=f46e2fd6ab3f5a72&vjs=3"
"273",272,"CRO / Marketing Data Analist","Rotom Nederland B.V.","Best","7 dagen geleden","2021-03-05","Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc4BrRAsVe3RSkDVo-za-HAUPmuCgbStg4LwmkcnEQuxc0c8N1QliRrvUKzd4uoUP_9J0MKqhNps4aw9hdJHMqIILiwlr4uaq411JxNW3oG6S78tSXVYjet66dER4tlfYTu9iYWPfsgTAwrDOC7_LoNzCs_FakuJ0qTikxGZF3UiS7Y_MLr4oqjBFDwJE93S5O-kJs9qEPcKfUy1HPohKRNtlIyEzUyYSbyESsfWJJb6u6zHHL-dg_FPYU7aYv6LWhtewMGgAI_KvdkfF0EX13cOm1NaUQ1GjCQ4UFMPJKq9XSia_7lGWZ5yVJMk1jwaFGT9k2Xo2krL1kDOzpoz8idKHwKwsxTCBL1jG0lH3UgbKHz29HSCe8YRFkqOZ5CuAE1Kc0CuBoSEFVUaqDnJS-0rdba6mdfYlrbRtqJren2OLtMAV3nB9KRLzY-tPEVBI1Y31De75Bt1FAEkKHPtj&p=0&fvj=1&vjs=3"
"274",273,"Security Incident Analist","Enexis","Den Bosch","Meer dan 30 dagen geleden","2021-03-05","Mooi meegenomen kennis (geen must): ITSM, cybersecurity, data-analyse, SIEM, threat intelligence, IT-security, riskmanagement, AVG, , ISO 2700x, COBIT e.d.).","€3.404 - €4.863 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Anhk1jJoJlLLH4x9OTW8szen6xJ4VD6sIavLZrBTsL2PiDfD1sHaNuvqTZwk6f8FQcyPnFx5CIa08WdQ48UtYffvz62_VQSIVIrUfUXgucCOtDFmPPM9-cwdEG4fs-kANlxvexcXR-DZYgseiD6GFbVFlykXnpMDnNGrQBKAPzWLj5wtp0cEMjlG4Bg28Ms5hF6YLRdFBv19SdrGjBHsgqHz990s8TxyGpSWxKPT0QwLxHMkfSxFNyUWVMkIVG4Xvv4ilwpfCeuhMXSa08YViQIoMwZYN5CRMdRGIZV4suCfTp-AgRLuYLEZIQKwg2EDDJxrhDRMH-U3CHyFcYw87B2XsufiCcUB1HFS0S6QTOEvJrrbaCbvzrt28PsJMpwdBv1M5lBvuA4zzWrCtz7YOOPD00pisYdeU4umab3r1ZRn95PvmhZUoJWAyDqfauGa8-ccDMl-IWfLpVS3vg8aV29SGJmb0F3nvwl1djhZPCEKh2hb7nV_pW1FKYogY3VE2j3yAWVlMpWGlozrRMWmDlOmOccIaklSBNC4mnHXGxiwp5i5gWQrz-hs2TpEfuZYw4rCwnPTm54qy45JHoFT32-tIuduOq1ikaRh-1EPyhbifGY-Rog50C4uTDMZArEHkZVcDHHJCPcdkzDM9MCyUBBLPlBtUK4H58adKt_9dHEyOeJzF0ceh-g1Dweie7ZJYnbELEiD5xKfyqzeKFyVZhOhaWlG3c5IHKst4djISyBqpPqS7RC5UNwZC-uPEKl60pa5i_JAn8WQ==&p=1&fvj=0&vjs=3"
"275",274,"Python Data Analyst","memo2","Nederland","Meer dan 30 dagen geleden","2021-03-05","Get freedom to develop and experiment with new ideas to innovate/automate data analysis.
Knowledge of Python libraries for data science and web development …","","https://nl.indeed.com/rc/clk?jk=780afef3e94aafd6&fccid=c8996123c3ba1f78&vjs=3"
"276",275,"Business Analist","Remeha","Apeldoorn","4 dagen geleden","2021-03-05","In je functie betekent dit dat je samen met de business aan de slag gaat om master data management steeds verder binnen onze organisatie door te laten voeren,…","","https://nl.indeed.com/rc/clk?jk=a16297c89e535372&fccid=0e223375ff843711&vjs=3"
"277",276,"Business analist","Woonbron","Dordrecht","Meer dan 30 dagen geleden","2021-03-05","Dan is de functie van business analist wat voor jou!
Heb je passie voor data-analyse en gaat het geven van adviezen je gemakkelijk af?","€3.680 - €4.971 per maand","https://nl.indeed.com/rc/clk?jk=0beee7450dd4074c&fccid=a480d6eedd873cc2&vjs=3"
"278",277,"Data Analist","Creates","Utrecht","22 dagen geleden","2021-03-05","Je gaat het gesprek aan met klanten over data: welke data heeft de organisatie beschikbaar en waar wordt het geregistreerd?
Ben jij de held die we zoeken?","€3.400 - €5.200 per maand","https://nl.indeed.com/rc/clk?jk=84d98aa6e5150ca5&fccid=dd234fea1f9cc6cd&vjs=3"
"279",278,"Data Science Intern - Digital Marketplace","Orderchamp","Amsterdam Centrum","Meer dan 30 dagen geleden","2021-03-05","High-growth startup looking for a tech data-driven student.
Understand our data, analyze behavior and build algorithms to improve performance;","","https://nl.indeed.com/company/Orderchamp/jobs/Data-Science-Intern-5a344575bc0b2795?fccid=e4e54f0bb419a640&vjs=3"
"280",279,"Data Engineer (m/f/d)","Artefact","Utrecht","Meer dan 30 dagen geleden","2021-03-05","Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into…","","https://nl.indeed.com/rc/clk?jk=02a849390ffb6919&fccid=0f5477dfb7d07060&vjs=3"
"281",280,"Data-analist","Maxflex","Nijmegen","Meer dan 30 dagen geleden","2021-03-05","Dan is deze functie als data-analist wellicht iets voor jou!
Je haalt energie uit programmeren en wilt graag leren en investeren in je kennis van data analyse…","€11 per uur","https://nl.indeed.com/rc/clk?jk=c900b070487f690b&fccid=e5cb433b4132b9ad&vjs=3"
"282",281,"Data Analist","infoscore Nederland B.V.","Heerenveen","Meer dan 30 dagen geleden","2021-03-05","Het controleren van data op correctheid;
Het verzamelen en ordenen van relevante data;
Is werken met data jouw passie en wil jij je graag in een internationale…","","https://nl.indeed.com/rc/clk?jk=adde6eb873fc295f&fccid=746e07b369c32dc5&vjs=3"
"283",282,"Ondernemende business analist","Purplebridge","Culemborg","Meer dan 30 dagen geleden","2021-03-05","Je hebt bij voorkeur affiniteit met informatie, data, financiële processen en IT.
We combineren onze kennis en ervaring op het gebied van informatie, data,…","","https://nl.indeed.com/rc/clk?jk=15e4481d3d9b76fc&fccid=d36f36d1b8c33817&vjs=3"
"284",283,"Data Analyst (m/f/d)","TecAlliance","Maastricht","Meer dan 30 dagen geleden","2021-03-05","Continuous monitoring of the vehicle data on different platforms and ensuring clean data processing.
Professional experience in data analysis.","","https://nl.indeed.com/rc/clk?jk=621a49ead6976fa0&fccid=64e5142d384db4f8&vjs=3"
"285",284,"Data Analist","TreeHouse","Rotterdam","9 dagen geleden","2021-03-05","Dit team is verantwoordelijk voor het verzamelen en waarborgen van de de kwaliteit van onze data en ons als organisatie helpen om deze data inzichtelijk te…","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbOies5qPN1BgKwdkTD8LtNSbl3vQGA32DWrLLWCjoLzVAWZwBSsl5ZoP9TMWGTon7uEA1ujWF9BV1O6X46CjsgekV17gmvPRwqz2bu8JBySiI6EfE5lT_Yna2NjSbpaF-1hgJ21d6yAUOA97_HZDiFqYs6m_mEKg6jqEZSeC6jfxxRmwVcyFEWmFVj-BxPs7M0d8X9RO5-XRX6cps-6mw30ZG_JIoawhzf3wvZ2Vf1P2gGLppXwBYi3T7sGG3duYfXprdE2pfoI5YNeg6RKzr-IaU9maWu62B3o7J7lREtLMNbcAz3Zs5Up_bZTS8Ho2JH_Mk3BavQdjPseNMknO11h-GaGni6tN7wP6e7spI8hHgvg8uECl8Sb2afuUxZChWuGYx0ngUOKDOljeFA3MYHhV9rsdGXPu4GSECqvy6Fvg2-SxGYm522Oc2bmBbZurq5zp2DHmz7w==&p=12&fvj=1&vjs=3"
"286",285,"Traineeship: Data Analist","Createment","Eindhoven","2 dagen geleden","2021-03-05","De data-wereld ligt aan jouw voeten.
Ervaring in data-analyse is niet nodig, wél breng je mee.
Gewoon omdat je hard werkt, IT, online marketing en data gaaf…","€2.500 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQVpz0dABwcJxPL6ZF89l8aMZ4ujW6gW5aOiSkCGD8kFV8HXpgi727Omxjhihm0EipkcS3-z-sPOCnggwUtodXRHTnFvhTaezc0CL9YbpLO8q7F_4VL8cADy53OexmiVjyGk-BqxjpLnY4l7blENZlG_B-vU3dJLI_tJUKh0shmhbuyuLxjS2a6MS-q7n8xppRZ0n7GPv2bO3k7YNuOBijMCICgaDaUluoZ43dCdk_XMJwewIr0UJNevnvqcgHd6Ai7MSxQG4_k9sRFPf2GhOOjt1tILec_80NyBWukYXVgszS8v3mdAbpw6wCq4t4NKQjf8cF_CYybwRVGakO-9QJOEeR_8YGZiX-9VzEvc-nkV_Mj_jvFbAdocV3jXpDha2NGGgX_l3Z9FEePMFADpCa9WgHtIYmU8ZCaxFCFE43i_fcKJBgOCkFQ41uUYGqyWZhh7c0f5NWK5PTOYT2m8gIL9oK9gNsq5LlXneGkz7N5dl7rvoYAiV3l3zrEqygQXeZtQi5PU76CQilRYsmMzBB8ioh6bnxh2-cEMZyyMEnRORaisECwOUGLplOo2IkaV5EQpNok9l1YFwzyB8wN9oUTV4nCkaFlXlpAfhEIXnjlzdyTDm-iFMEFsmgtxTSdYlgsmOCcCVr8Q==&p=13&fvj=0&vjs=3"
"287",286,"Data Analist","Enexis","Den Bosch","9 dagen geleden","2021-03-05","MI bestaat momenteel uit een data analist, web analist, marktonderzoeker en een senior marketing intelligence medewerker.
Ervaring met web analyse is een pré.","€3.404 - €4.863 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Anhk1jJoJlLLH4x9OTW8szen6xJ4VD6sIavLZrBTsL2Dzxavgw6cdIBayY9YzcYeN89FiyY3nWsNBRV3DpG3MBoaUmZddpcQi6yjBc_t_a5WJq9O9mRQ-_qUfhBi8a7EYXt059zcaJpzlTwFQpn_VcX2DMC9Sb1CVzfP9d3D9skQoC9sKN1GG2OuogqPCdIP_QlnNhOQaW2Xm0tg1gqz45dQdPKj5YzaaK7ArkTL03OZ3f6tcCuVDPRzIMnXuDr6VKoq_Tp_jYKhhuYAMpMoCdoQ50OTGu_gd5CfY0EhoBroICw8VhntDMxuugBa99K1CZLhy1h6IoKnKqCGUUvHPlCbHt-19ETaUgU-jPjnQ7lmEw2fnGzGRTnT0g-kIbPj44Mp0niz8MJz4Q6GzQ5c6vTbMN1sROnRbEF3cA1McdNBkQBfNXKrlpMz4CvcgC7J7IbNYQYo9R1Yo89EkQ8QdOeWf7VH-mON1OEdPm-mlO0xzV9YKH1ECCZKrb1sAbNLbWyHlMZVgtAIP-1FFJbKpWLVWwFnrjfnTl4BbhrfpGC-Vx85tv_14IuEZHFTOo8CZAMQw-slvFMFq7HfxfRRSEIO4AAEgAxertX28gMTEiDO9P9uzq2fI2nmsLIXdN02M2Q5mtFmhHsJvPJ6kTDavhaainaaSCfh0q4rU2uN-ZnEkYVaSTZx_ZKGFwsBaxL-R2AwgaPaIwafZDPye-xMUCGaCFDv6ilQCsZIQ-2w74B4Itp8-enQvGUdVkSeNZgTUul1EiFDm-ObbgwsuX3loMibiWALuIROXKVzMNV6PerX5OghOYDyjWPp5EZD1BMxkqIoakrlcX-B5g8D4WYhIZOJvNyzf1heHESZ37zrVnT-TlK3ltfZI_-F-0PYX1NVxIEyk5swhd8-A1CzTgfF4IjjRO_lEIZ-a-xuFDQJivTMFqeOm8bpc_tHdi2Hco2jY5YmzuhEOxRYTdc_EowwXNtTe2rn9MdnRcjSuvphPMBfdyTXbyC-d858gkOIX0MpaPGzvdofQHyWQBk5OPF2utHyH8DJi7y8S5gojAG0HpCYCE66MjssBa&p=14&fvj=0&vjs=3"
