"X","Title","Company","Location","Date","Scrape.Date","Summary","Salary","Url"
"11",10,"Data Analist","HalloStroom","Gouda","8 dagen geleden","2021-03-05","Je neemt tactische beslissingen aan de hand van data.
Voor deze rol zoeken we een ervaren analist.
Jouw focus ligt daarnaast op waardevolle inzichten en…","","https://nl.indeed.com/company/HalloStroom/jobs/Data-Analist-f718684f28f31ff4?fccid=923e2776b829025b&vjs=3"
"12",11,"Customer Intelligence Analist","DELTA Fiber Nederland","Schiedam","Zojuist geplaatst","2021-03-05","Jij bent het data geweten van dit team!
Hiervoor gebruik je (de nieuwste) geavanceerde analyse en big data technieken.
Jouw nieuwe werk en afdeling*.","€3.200 - €4.500 per maand","https://nl.indeed.com/company/Delta-Fiber-Nederland/jobs/Customer-Intelligence-Analist-db8a9499759e316e?fccid=74a2751fd6ac91d4&vjs=3"
"13",12,"Data analist","Eneco","Nederland","6 dagen geleden","2021-03-05","Je het 3-5 jaar werkervaring als data analist;
Voor jou als data analist is hier een belangrijke rol weggelegd.
We doen dit voor de gehele Eneco organisatie.","€70.000 per jaar","https://nl.indeed.com/rc/clk?jk=9b8b8e70f8af0681&fccid=0f752a0010ef00e0&vjs=3"
"14",13,"Data-Analist","Gemeente Valkenswaard","Gemeente Valkenswaard","7 dagen geleden","2021-03-05","Minstens drie jaar ervaring als data-analist, businessanalist of in een soortgelijke functie.
Eugenie kan je in contact brengen met de huidige data-analist voor…","€4.494 per maand","https://nl.indeed.com/rc/clk?jk=7f8fe03c5484706b&fccid=96bb5fdb07fcd616&vjs=3"
"15",14,"Data analist | Zwolle","Teleperformance Benelux","Zwolle","13 dagen geleden","2021-03-05","Spotter, opgraver én duider van data-pareltjes.
Omdat je gelooft in de voorspellende kracht van data en dat geloof uitstraalt.
Liefst met een gouden randje.","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnUmFDJx9Oif53EHg4peBlrsbvJFgQ4TDd1rAdS1A9_LKioEsQjmuA348M7TUgEo3ikT7oY_eWjwrLNqLMEoZ0v_GbF4MQTT_F3w00BQ27RlozKR4emVcG4RvjH1bukq3CnAQDDKkP99gN8diCCwh45Z219xwc18c-wYt60jdhbMQx5yzkDYWtwJo8L6ebVAu0Nrs7paIUQE4VWcte3xUD9rOXFlgeLE7ILdtuY2g-QyuJl7LIMcOZ_poR6VZc3SHe17TlP8hwqwfS7Eo_6xcb1WwTP2tmdnRAqZYgg25skaufaBGG0EJ2eGeD3z8vyRNhz2Yh0P8zMrtonQp2c1qVLmtMrs6B2Di9716uLuioZCrf_0tCW8QxXUMW7IiD8PPzYxQKS0MBctZRc5mmec_HHIa6Y46q99IXlgVloOxZm000LJR4WmL4ZjugpzV-xU_rd3DzbUcYTDTTMgN-BClZkPlTLzyd67kV3n34S_T-PJWkB2tpZn2hbTJIuagrQRbWwFXVKX-KzzrWUD8i6AutYjYbAqziofugQIHLmnuCjFaOslYRWfyRJq3nABkvvm9SInYbSzzw1PLi6eUX12S9at8YNPv-MfP--0tQJrn_tSbx56DiNbyIN261kKA65PWW4N8ydEHWuiRZ7Jjc3z4FxSvwm0-xmhXsNoJXZH-e2ldkV-5cNX7_XqBnPbAWzMYprUZ61N7f2pjKXtQ5sled6MFUd29RqW_8ilNBIxkcRA==&p=14&fvj=0&vjs=3"
"16",15,"Junior Data-analist","YoungConsult","Boxtel","1 dag geleden","2021-03-05","Momenteel zijn zij op zoek naar een Junior Data-analist om het team te versterken.
Je hebt een controlerende rol bij de verwerking van WOZ-data en waarde…","","https://nl.indeed.com/company/YoungConsult/jobs/Junior-Data-Analist-2b6365b42d370df2?fccid=f7fb131ca591f592&vjs=3"
"17",16,"Data Analist Commercie","Ahold Dellhaize","Zaandam","13 dagen geleden","2021-03-05","Een data-gedreven organisatie, waar de stakeholders het belang van data-gedreven werken erkennen.
Een uitdagende functie met de mogelijkheid om te werken met…","","https://nl.indeed.com/rc/clk?jk=36dbec7ae3b622d5&fccid=237b07f71d39adc8&vjs=3"
"18",17,"Data analist Autoriteit woningcorporaties","Inspectie Leefomgeving en Transport","Utrecht","7 dagen geleden","2021-03-05","Als data analist maak jij heldere analyses van een grote hoeveelheid data over woningcorporaties, waarmee de inspecteur, het management én de corporaties aan de…","","https://nl.indeed.com/rc/clk?jk=96560c4edd6b8e8b&fccid=9ac242948bd47f26&vjs=3"
"19",18,"Data Analist","Exact personeelsintermediair","Den Haag","7 dagen geleden","2021-03-05","De Data analist stelt de exacte wensen van de organisatie en ziekenhuizen vast op het gebied van data.
Je bent sterk in zowel data analyse als functionele…","€3.200 - €4.000 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DB0Ek-WWRY1C7GzilxVvrTwEfBUMzggtobeoG-tyfAfAzGSz7-umD45Jg_QdRO1QUilscPo85Ctc0bXNBRLa38D9ISYgOid4ToPKdfeVUOp1fhVtnUYmvZQ8EgTYsrW3z6ya0cphA3WdoZRtHrAJZM577FeI0PCk6HGigEcZId5oarKP9UJOs4EqpIMyCH0btXLAisWALr2S6xUCihu8sBVsEEvsp6r5YHc1rr3ifTXr4hPJyyyLmsdBgXSfZqzFp3EebfTnOhdkDhkjRGn80nKifRl91-jCcG-mWZWewJVeJKpw6LnYWywnZygQ-4Z0t5DrH3a2cKLvqcjsdOLRfXrQB4kp67rKIqdhcoWziSsBmn3VoA3S_IXBTfXSCP8_eRvizTan-ewhKi4wHVA1xl_T2NoG8hgOPAJnBdQ68IUIsmXSH5HSiNUf9HUr9xcpTjNjzWiqrjpr2QQMS1aIJ1okmDiC66ZDmMCg9jHBTG0jP9p0pPQhg5bWPRuZ1ad3FvFlxyBsULg55H7BdBqO60Eb3GKKLi2nVc8rwge5Ctc8EkB0Mi8BNGsYJCtLy3sIq6Gk0XC5vt1A==&p=3&fvj=0&vjs=3"
"20",19,"Data analist | Zwolle","Teleperformance Benelux","Zwolle","13 dagen geleden","2021-03-05","Spotter, opgraver én duider van data-pareltjes.
Omdat je gelooft in de voorspellende kracht van data en dat geloof uitstraalt.
Liefst met een gouden randje.","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnUmFDJx9Oif53EHg4peBlrsbvJFgQ4TDd1rAdS1A9_LKioEsQjmuA348M7TUgEo3ikT7oY_eWjwrLNqLMEoZ0v_GbF4MQTT_F3w00BQ27RlozKR4emVcG4RvjH1bukq3CnAQDDKkP99gN8diCCwh45Z219xwc18c-wYt60jdhbMQx5yzkDYWt3w9rEUkLW0kt5ZHDXyMEHlB3JRdwLW-liFjpCIV5fWu-u_JHrC5rctQFnKBRq2SpAGQ40V-gERi_dCCWlwl1u_D8CkcYbRCmgac5OM_V72IlvVaHpEQHQzzw_Tb4CBSDIO6WPLTQpn-lO792HGeW4XoG59_DAa8HaJcm_L59ow-B1Y0IJEh78a9aqgpbkZNRtUC27RLY2jDFQImZ3VuFrdZIyIeAFTJSzRg0zSZfE28CdyV0Risp7eaNlxrQ-1couaoICoA6iNWzx6gbyLYqJcDMyp7O_MQTwkBL6zvdDmJeifHIJFa8pXXXF6FV-Pmbxw9p-zTd3Zgtsxt8K1s2ZBbAFQz-SPGKu3hf2_AUFTCLUp-oCESOZxAniYvNIdcWKS3FhL6U48wA9afj44UbCNmaHodA6F8lcti1z5mKOLaJla6gHAYm3un3Wpx0txafnI2p5sA-5HKG8LuOE6f32yYjZmc2XtJdwg5FmjQvIfZPJCT2GyETKBGeE7ryuKofADjgYEUQxYadjsV0ckX6IYCoMeSi-nVnT1_OOV-j4hLHca3yFSom3w==&p=4&fvj=0&vjs=3"
